					  
"About_BuiltPrefix" "Built %1"
"About_DateString" "MMM d, yyyy %1 hh:mm"
"About_DateString_Argument" "at"
"About_Title" "About SteamVR"
"About_VersionPrefix" "Version %1"
"Advanced_Advanced" "Advanced"
"Advanced_AllowSavingOfTimingInfo" "Allow saving of timing info"
"Advanced_AppRequestedThrottling" "App requested throttling (cpu bound)"
"Advanced_Applications" "Applications"
"Advanced_ApplyPathsAndRestart" "Apply Paths and Restart"
"Advanced_AsyncActive" "Async Reprojection On"
"Advanced_AsyncNotActive" "Async Reprojection Off"
"Advanced_Audio" "Audio"
"Advanced_AutoSaveTimingInfoOnExit" "Auto-save timing info on exit"
"Advanced_Base" "Base"
"Advanced_BaseStation" "Base Station"
"Advanced_Bluetooth" "Bluetooth"
"Advanced_BoundsDrawing" "Chaperone Bounds On"
"Advanced_BoundsNotDrawing" "Chaperone Bounds Off"
"Advanced_Camera" "Camera"
"Advanced_Compositor" "In-Headset"
"Advanced_ConfigPath" "Config Path:"
"Advanced_Controller" "Controller"
"Advanced_DashboardDown" "Dashboard Off"
"Advanced_DashboardUp" "Dashboard On"
"Advanced_Developer" "Developer"
"Advanced_Devices" "Devices"
"Advanced_DirectModeDisabled" "Direct Mode Off"
"Advanced_DrawingApp" "Application"
"Advanced_DrawingCompShouldBeApp" "Compositor"
"Advanced_DrawingCompositor" "Compositor"
"Advanced_DrawingUnclear" "Unknown"
"Advanced_DroppedFrame" "Display Error"
"Advanced_Explanation_CollisionBounds" "Chaperone bounds appear when you approach the edges of your available space."
"Advanced_FloorBoundsAlwaysOn" "Floor bounds always on"
"Advanced_General" "General"
"Advanced_Generic_Tracker" "Tracker"
"Advanced_HMD" "Headset"
"Advanced_Header_CollisionBounds" "Chaperone Bounds"
"Advanced_LogPath" "Log Path:"
"Advanced_MotionEstimationActive" "Motion Smoothing On"
"Advanced_MotionEstimationDisabled" "Motion Smoothing Unavailable"
"Advanced_MotionEstimationNotActive" "Motion Smoothing Off"
"Advanced_MotionSmoothedFrame" "Reprojected w/ Motion Smoothing"
"Advanced_NormalFrame" "Normal Frame"
"Advanced_OneThirdFramerate" "One-third framerate"
"Advanced_Paths" "Paths"
"Advanced_PerfGraphInHMD" "Display GPU performance graph in headset"
"Advanced_Performance" "Video"
