					  
"About_BuiltPrefix" "Built %1"
"About_DateString" "MMM d, yyyy %1 hh:mm"
"About_DateString_Argument" "at"
"About_Title" "About SteamVR"
"About_VersionPrefix" "Version %1"
"Advanced_Advanced" "Advanced"
"Advanced_AllowSavingOfTimingInfo" "Allow Saving of timing info"
"Advanced_Applications" "Applications"
"Advanced_ApplyPathsAndRestart" "Apply Paths and Restart"
"Advanced_AsyncActive" "Async Reprojection On"
"Advanced_AsyncNotActive" "Async Reprojection Off"
"Advanced_Audio" "Audio"
"Advanced_AutoSaveTimingInfoOnExit" "Auto-Save timing info on exit"
"Advanced_Base" "Base"
"Advanced_BoundsDrawing" "Chaperone Bounds On"
"Advanced_BoundsNotDrawing" "Chaperone Bounds Off"
"Advanced_Camera" "Camera"
"Advanced_Compositor" "In-Headset"
"Advanced_ConfigPath" "Config Path:"
"Advanced_Controller" "Controller"
"Advanced_CurConfig" "<CurConfig>"
"Advanced_CurrentPerfomanceStats" ""
"Advanced_CurrentWarningConfig" "Current Warning Config"
"Advanced_DashboardDown" "Dashboard Off"
"Advanced_DashboardUp" "Dashboard On"
"Advanced_Developer" "Developer"
"Advanced_Devices" "Devices"
"Advanced_DrawingApp" "Application"
"Advanced_DrawingCompShouldBeApp" "Compositor"
"Advanced_DrawingCompositor" "Compositor"
"Advanced_DrawingUnclear" "Unknown"
"Advanced_Explanation_CollisionBounds" "Collision bounds appear when you approach the edges of your available space."
"Advanced_FloorBoundsAlwaysOn" "Floor bounds always on"
"Advanced_Framerate_Good" "Framerate Good"
"Advanced_Framerate_MissedFrames" "MISSED FRAMES"
"Advanced_Framerate_NoFrameData" "No Frame Data"
"Advanced_General" "General"
"Advanced_Generic_Tracker" "Tracker"
"Advanced_HMD" "Headset"
"Advanced_Header_CollisionBounds" "Collision Bounds"
"Advanced_LogPath" "Log Path:"
"Advanced_NotifyInHMD" "Notify in Headset"
"Advanced_NotifyOnlyOnce" "Notify Only Once"
"Advanced_Paths" "Paths"
"Advanced_PerfHeuristicActive" "Perf Heuristic Active"
"Advanced_Performance" "Performance"
"Advanced_Reset" "Reset"
"Advanced_RoomOverview" "Chaperone"
"Advanced_RuntimePath" "SteamVR Path:"
"Advanced_SaveFrameDataNow" "Save Frame Data Now"
"Advanced_SetNewPath" "Set new path..."
